#fixingDate,fixingId,fixingValue
2015-10-27,USD-LIBOR-3M,0.0032390000
2015-10-28,USD-LIBOR-3M,0.0032190000
2015-10-29,USD-LIBOR-3M,0.0032890000
2015-10-30,USD-LIBOR-3M,0.0033410000
2015-11-02,USD-LIBOR-3M,0.0033410000
2015-11-03,USD-LIBOR-3M,0.0033360000
2015-11-04,USD-LIBOR-3M,0.0033660000
2015-11-05,USD-LIBOR-3M,0.0034390000
2015-11-06,USD-LIBOR-3M,0.0034140000
2015-11-09,USD-LIBOR-3M,0.0035560000
2015-11-10,USD-LIBOR-3M,0.0035610000
2015-11-11,USD-LIBOR-3M,0.0035910000
2015-11-12,USD-LIBOR-3M,0.0036160000
2015-11-13,USD-LIBOR-3M,0.0036360000
2015-11-16,USD-LIBOR-3M,0.0036410000
2015-11-17,USD-LIBOR-3M,0.0036710000
2015-11-18,USD-LIBOR-3M,0.0036960000
2015-11-19,USD-LIBOR-3M,0.0037760000
2015-11-20,USD-LIBOR-3M,0.0038210000
2015-11-23,USD-LIBOR-3M,0.0039320000
2015-11-24,USD-LIBOR-3M,0.0040230000
2015-11-25,USD-LIBOR-3M,0.0040670000
2015-11-26,USD-LIBOR-3M,0.0041170000
2015-11-27,USD-LIBOR-3M,0.0041420000
2015-11-30,USD-LIBOR-3M,0.0041620000
2015-12-01,USD-LIBOR-3M,0.0042220000
2015-12-02,USD-LIBOR-3M,0.0043600000
2015-12-03,USD-LIBOR-3M,0.0045200000
2015-12-04,USD-LIBOR-3M,0.0046200000
2015-12-07,USD-LIBOR-3M,0.0047700000
2015-12-08,USD-LIBOR-3M,0.0048650000
2015-12-09,USD-LIBOR-3M,0.0049200000
2015-12-10,USD-LIBOR-3M,0.0050200000
2015-12-11,USD-LIBOR-3M,0.0051200000
2015-12-14,USD-LIBOR-3M,0.0051775000
2015-12-15,USD-LIBOR-3M,0.0052575000
2015-12-16,USD-LIBOR-3M,0.0053250000
2015-12-17,USD-LIBOR-3M,0.0056950000
2015-12-18,USD-LIBOR-3M,0.0058550000
2015-12-21,USD-LIBOR-3M,0.0059310000
2015-12-22,USD-LIBOR-3M,0.0059435000
2015-12-23,USD-LIBOR-3M,0.0060310000
2015-12-24,USD-LIBOR-3M,0.0060310000
2015-12-29,USD-LIBOR-3M,0.0060670000
2015-12-30,USD-LIBOR-3M,0.0061220000
2015-12-31,USD-LIBOR-3M,0.0061270000
2016-01-04,USD-LIBOR-3M,0.0061170000
2016-01-05,USD-LIBOR-3M,0.0061710000
2016-01-06,USD-LIBOR-3M,0.0062010000
2016-01-07,USD-LIBOR-3M,0.0061685000
2016-01-08,USD-LIBOR-3M,0.0062110000
2016-01-11,USD-LIBOR-3M,0.0062210000
2016-01-12,USD-LIBOR-3M,0.0062360000
2016-01-13,USD-LIBOR-3M,0.0062200000
2016-01-14,USD-LIBOR-3M,0.0062110000
2016-01-15,USD-LIBOR-3M,0.0061960000
2016-01-18,USD-LIBOR-3M,0.0062380000
2016-01-19,USD-LIBOR-3M,0.0062430000
2016-01-20,USD-LIBOR-3M,0.0062130000
2016-01-21,USD-LIBOR-3M,0.0061860000
2016-01-22,USD-LIBOR-3M,0.0061910000
2016-01-25,USD-LIBOR-3M,0.0062130000
2016-01-26,USD-LIBOR-3M,0.0062110000
2016-01-27,USD-LIBOR-3M,0.0061810000
2016-01-28,USD-LIBOR-3M,0.0061560000
2016-01-29,USD-LIBOR-3M,0.0061260000
2016-02-01,USD-LIBOR-3M,0.0061860000
2016-02-02,USD-LIBOR-3M,0.0061920000
2016-02-03,USD-LIBOR-3M,0.0062060000
2016-02-04,USD-LIBOR-3M,0.0062020000
2015-02-02,USD-LIBOR-6M,0.0035740000
2015-02-03,USD-LIBOR-6M,0.0035880000
2015-02-04,USD-LIBOR-6M,0.0036080000
2015-02-05,USD-LIBOR-6M,0.0036240000
2015-02-06,USD-LIBOR-6M,0.0036240000
2015-02-09,USD-LIBOR-6M,0.0037340000
2015-02-10,USD-LIBOR-6M,0.0037680000
2015-02-11,USD-LIBOR-6M,0.0037830000
2015-02-12,USD-LIBOR-6M,0.0037690000
2015-02-13,USD-LIBOR-6M,0.0038240000
2015-02-16,USD-LIBOR-6M,0.0038090000
2015-02-17,USD-LIBOR-6M,0.0038190000
2015-02-18,USD-LIBOR-6M,0.0038530000
2015-02-19,USD-LIBOR-6M,0.0038410000
2015-02-20,USD-LIBOR-6M,0.0038570000
2015-02-23,USD-LIBOR-6M,0.0038470000
2015-02-24,USD-LIBOR-6M,0.0038515000
2015-02-25,USD-LIBOR-6M,0.0038290000
2015-02-26,USD-LIBOR-6M,0.0037835000
2015-02-27,USD-LIBOR-6M,0.0038070000
2015-03-02,USD-LIBOR-6M,0.0038420000
